review,attributes
"Stopped here for the first time. I was told that this place was pretty good but there would be a wait. Little did i know there were 2 lines. After waiting for an hour outside and another 10 minutes inside we finally ordered and made it to our seats. The food was pretty good. I recommend the mama cristo and the regular French toast. Stay clear of the banana nut and the orange cranberry French toast. Sometimes less is more. If you're willing to wait in line for an hour plus, check this place out. If not there are plenty of other places to eat.","food,cristo,toast"
"I reserved a table for Sunday evening for 5. We got to the reserved time and got seated very quickly. Between 5 of us we ordered pork belly, pastrami, salt cod fried rice, wings. We had leftovers only because we were hungry before our reserved time so we ate a meal before hand but still wanted to go to Mission Chinese. The crowd favorite was the pork belly. We personally felt the dishes were a tad bit too salty. My group felt like the wings were not spicy at all. I personally have a really low spice tolerance and I felt like it wasn't all too spicy. The fried rice was good. This is a fun place to go to with your friends to try different dishes. I like this place.","rice,pork belly,pastrami,wing"
This small and cozy place met us with prompt and amazing hospitality! The food was amazing and delicious. They are more than happy to let you sample some of their delicious food and drink options. I will return to see them again the next time I am in the neighborhood.,"hospitality,food"
"We had a great attentive service on a not too busy Monday night. Food was fresh, hot and tasty. The tortillas, salsas and chorizo tasted like they were made in-house. It's a rooftop bar and restaurant so expect small tables.","tortillas,salsas,chorizo "
"NOT GREAT. Very over hyped for what it was. Food was good. Tasty but not amazing. Overpriced for sure. Portions were small. Pasta with mushrooms and no protein for 20 bucks is a bit much ( being that is a small portion).The music and ambiance was good and energetic.The first waiter was very attentive and polite and we talked about all the hot spots to dine in sf. We eat out every night unless we have a dinner party at someone's house or we host people at home. I'm a big time foodie and this place was just ..... meh. Then the waiter had to go home and he was polite and nice but did not introduce the new server.I am not sure how to say this although I'm a very direct person but the waiter who was running the food smelled horrible. I know is San Francisco and everybody is free to do whatever they want including not wearing deodorant, but it is a food environment which requires hygiene and that particular waiter with the long earring was not hygienic at all and the smell was very offensive. I understand chefs ask the waiters to not wear cologne so the fragrance does not interfere with the smell of the food but he took it to the next level and it was not appropriate. Then a female waitress showed up and she was pushy and on a rush to get out of there. I was not even finished with my pizza and was offering offering anything else.I asked for dessert menus and the smelly gentleman •_brought them. The desserts were good, the coffee tasted good. The wine selection was decent and we picked a Sangiovese.Overall, a mediocre experience. We are not cheap by any means. We dine all over the place and travel the world, but after the lack of good service by the waiters that took over when our original waiter left, they did not deserve more than 16 percent tip. Also, the waitress came to grab the check because she really really wanted to leave. Again, inappropriate. Flour and water think they are "" so cool"" and they were probably good 5 years ago. NOT ANYMORE.Go to SPQR or Delarosa, both are amazing places for less money and better, professional and hygienic service.And Flour and Water is also not cheap. We spent 250 dollars for a 2 top on a Monday. Flour and Water, get it together, there are a lot of amazing restaurants in SF and the hype will fade sooner rather than later. Mediocre.","food,portion,pasta,music,ambiance,waiter,dessert,coffee,wine,service,waitress"
"7/6/14 •_DinnerSolid 5-Star now!Scala's is one of the few hotel restaurants in town where the prices justify the quality of food. Pastas $17-21, entrees $25-$33, from steak to fish. Service has always been attentive and efficient. Scala's has become my go-to place to eat when I'm in Union Square. They have constantly outdone themselves.*Peppardelle ($21) was the special pasta for the night, with slow-cooked pork sugo, very tender, almost like pork cheeks with housemade peppardelle pasta in a tomato sauce with parmagiano. It's orgasmically tasty!*Hanger Steak ($30) was grilled to medium rare and sat on a piece of toast which soaked up the meat sauce. It was topped with grilled mushroom radish and grilled summer vegetables on the side. Another winner.The server recommended a medium-body Benziger Merlot ($11) from Sonoma to go with the meal. It's very smooth and perfect for the evening. I'm one happy camper here at Scala's. It's an oldie classy restaurant that is an epitome of a San Francisco dining experience!","pasta,entr_e,service,Peppardelle,steak,merlot"
ar|,
Grilled fish tacos were delish! (nick crispy style) I only needed 2 because they were so huge but totally worth it and pretty inexpensive. It is also a good place to watch sports if you are interested in that and it is also good for larger groups. I would definitely come back here.,"tacos,sport"
"My Family and I ordered from Beijing's for dinner last night, we had chicken fried rice it was light, fluffy, and amazingly good. my two daughters ages 4 , and 5 ate most of it! For the Adults we ordered beef with scallions and kung pow chicken. I was really impressed with how tender the meat was and the •_amazing flavors. When you order dont forget the egg rolls and crab and cheese ragoons! Yummy!","rice,beef,chicken,roll,crab,ragoon"
Since moving back to the Portola nearly 6 years ago hubby and I have been regulars at Guadalajara. •_We've been there right when they opened in the morning and have been there right before closing and all the times in between. •_Every burrito is consistently yummy! •_They are all good but for me they have the best veggie one in the neighborhood! •_Hubs fave is the wet burrito. •_My BFF from high school moved to AZ 2 years ago and every time he is in town hubs and I take him here. •_He loves being able to have a taste from home and savors every bite. •_Says there is nothing like this in AZ and that this is the best. •_If we could safely send him some from here we would! •_And even if we move out of my hometown neighborhood someday I know we'll be making the drive back here to get our fix!,"burrito,veggie"
 Cafe|,
"Definitely worth the hype. The crust is great, and prosciutto and fennel sausage pizza perfect, not too salty or bland. Salad with pistachios, beets, and avocado right on point. Shorter wait than next door, and wonderful ambience with great music.","crust,prosciutto,pizza,salad,wait,ambience"
"Great spot, great neighborhood. Love coming here after playing tennis on weekends. The Quesadilllas are my go to","spot,quesadilla"
 Lounge|,
"Pizzas are great. •_However, there are many more places with better service. •_Last few times service has been horrendous. •_Then the kicker - we replaced meat on a pizza with vegetables. •_They charged us extra for the veggies! •_Wha? •_ If you can't cater to vegetarians, then why be in SF?","pizza,service"
"love this place, a slice of the Mission in downtown SF",
talian Restaurant|,
"so close of five stars but minus one for wet burrito. I don't like when my burrito is dripping wet. It soaks the tortilla and gets all messy. I like having the sauce and lime wet it up. You walk in and wait in line. While waiting they make you more hungry by cooking everything right in front of you. Boy oh boy it looked so deli. I think the reason my burrito was super wet was because I ordered chicken and the chicken is soaked in the juices. I like juicy chicken but... I'd rather have no extra juice. Just my preference. Then you tell them what kind of burrito/ plate, you can change the type of tortilla to spinach or whatever you like, the meat and then wait again to pay. While you're waiting for your food( only takes like 2 minutes) you can walk per to their sauce bar and seriously, try em all. My fav was the verde (green) sauce. Orange was creamy but no spice. Red was okay but not really spicy and verde was perfect!!! At the bar they also have cilantro and onion. You best believe I went to town on that!!!Real good place to try out. If you don't like wet burritos, I recommend not getting the chicken.","burrito,sauce,lime,chicken,cilantro"
"A fairly good place to hang out with friends after work since they have a fairly big patio, but the bar inside is just as good. Just make sure it's a sunny day... since you have a pretty bay view. The crowd is all professionals hanging out for a drink or two. I got a Fragole, which was fairly good but the Pizza was pretty darn good... hopefully coming back for more","patio,fragole,pizza"
"One of the few rooftop + outdoor places in the city. I have frequented this venue from the time it was Medjool. On a nice day, it's a fantastic place to be. If it's cold and windy (hello san francisco) it could be a little difficult to enjoy a cocktail. They menu has a good variety and I would highly recommend it as a Happy Hour spot on a warm SF day.","cocktail,menu"
"Great place for a good variety of fresh pastas and appetizers! It seems like the restaurant gets pretty busy, so I'd suggest making reservations here beforehand. Went here last Sat night with a friend around 7:20pm without a reservation. We had to wait about 40 mins, and we were seated promptly at 8pm on an actual table and not the bar. I was super craving pastas that night, and everything on their menu sounded amazing. •_Locanda started us off with some complementary, perfectly toasted focaccia bread glazed with light olive oil. Then we proceeded to order the following:APPETIZERPizza Bianca w/Smoked Bass, Horseradish, and Dill for $9 (4 stars): To start off, this is not to be confused for actual pizza because it is NOT. It's more like large pieces of crostini topped with various ingredients. Despite having a dislike for horseradish, I really enjoyed this dish! I really had my doubts... but the flavors of the smoked bass and horseradish complemented each other very well, and the thinly sliced dill on top made each bite very refreshing. Great start to the meal!MAIN DISHES - THE PASTASLinguini with Dungeness Crab/Lettuce/Sorrel for $21 (4 stars): Delicious! Linguini is not my favorite pasta, but combined with dungeness crab? I'M THERE. The pasta was slightly wider than the average linguini noodle (probably why I liked it), cooked al dente, and there were tons of pieces of fresh crab meat in the dish. I ate the entire thing up, but I think I would've liked the sauce to be a little less oily. I was also thrown off a couple times by some small pieces of crab shell in the dish. Still tasty though!Radiatore with Lamb Ragu for $17 (rating: NA): My friend ordered this, but I had one bite. The texture of the pasta was good (Flour + Water was still way better), but I thought that the lamb flavor was a little too potent for the dish. Although I'm a huge fan of lamb, the flavor of the lamb seemed to detract from the other flavors of tomato, pecorino, and mint. It was still good though, and my friend devoured it all.Both of us really enjoyed our food, but I definitely think the service could've used some improvement. The service was a little sporadic... Our waiter was super slow at times, especially when taking our orders and giving us the check. But he did come back pretty often to fill our water glasses. To wrap up -- Locanda, your food impressed me (even though your service did not), but I still look forward to coming back and seeing what other types of pastas and appetizers you have to offer!","pasta,appetizer,reservation,bread,ingredient,bass,horseradish,linguini,crab,sauce,radiatore,lamb,service"
The pizza was incredibly delicious. Two slices was more than plenty and very filling. The best part was the service and hospitality. I will definitely make it a ritual to go to Golden Boy Pizza every time I visit San Francisco.,"pizza,service"
"Came here in hungry anticipation, after reading the reviews. Approximately, 15 minutes in line on Friday during lunch time, I suppose wasn't too bad.Most slices are $4.25, and come fully loaded. •_Unfortunately, the pizza was nothing special. •_I liked that the bottom of the pizza was crisp, while the inside was soft and doughy. •_The clams tasted like what one would get from a can. •_Of the three of us who ate it, one person really liked it, while 2 of us thought it edible.We also ordered a pesto veggie pizza, which was said to be so-so.The combo pizza was also reportedly okay, though my lunch date said he has had better. •_So all in all an okay experience. Nothing that I foresee myself ever craving. •_However nothing really to complain about. •_Extra kudos for good service.","pizza,clam,service"
"$2 for tacos and cheese quesadillas. •_Tasty and good but not the best. •_And for $2 it's definitely a deal. •_The portions are fairly large, too. The place can get a but crowded and stuffy (poor ventilation)","tacos,cheese,quesadilla,portion"
You want a great calzone? •_Here's your place!,calzone
"Little star has been in my bookmarks for some time. When the roommate said he was craving pizza, I suggested Little star. Finally, I get to try their pizza! I know they're known for their deep dish, but I wasn't in a deep dish kind mood, so we stuck to their thin crust pizzas. We got take out of the following:Spicy chicken wings ($11.50) - Pound of wings served with baby carrots","pizza,chicken wing"
"After much anticipation, I went to Crystal Jade Jiang Nan for dim sum lunch today. •_The place is super nice, but I will not return soon for the following reasons:1) I was expecting this place to be expensive, but everything is over-the-top expensive2) Oolong tea is $7 per person3) a dim sum plate of 3 pieces of shrimp and scallop dumplings is $12.504) fried rice and noodles are not price by plate, but by serving. •_$15 per serving of chow fun (that's $60 chow fun for a party of 4)Frankly, I don't mind paying for high prices for food if the food is super good... in this case, it isn't. •_Everything I had was good, but no better than the dim sum you can find at Yank Sing or Koi.I am glad I experienced this new place, but there is nothing compelling about it that makes me want to go back. •_My next financial dim sum outing will be at Yank Sing.","tea,dimsum,dumpling,rice,noodle,price"
"Franchino's was a great mom and pop Italian restaurant in North Beach. •_It was a warm, friendly atmosphere and to top it off they served delicious food. I ordered one of the specials. •_The fact that the waitress said, ""My mom made this great pasta..."" made me soon realize that this was food going to be made with love. •_:) •_The pasta was very tasty that even my friend dug into it himself.The service was great and either the daughter or the mom checked in on us. •_The bus boy continually made sure our waters were full and I was bummed that I didn't have enough room for dessert.The only reason I'm giving it four stars is simply because the space is pretty small. •_Be sure to get there a little early though because it'll get crowded quick and they don't take reservations.Another great thing about them was while I was waiting outside for my friend, the owner was outside opening the door for the guests and while doing that he and I would chat as if we were hanging out at his house. •_Really great people and welcoming environment.Go eat at Franchino's!","atmosphere,pasta,service,dessert,space,reservation"
"First time here and I'm a fan! •_I heard this place was featured on Guy Fiery's show Diners, Drive-Ins",
Amazing amazing amazing and amazing did I say it was amazing? This place is so good it might be the best pasta and Italian food I have every ate. It is fresh and home made and great service. MUST TRY IF YOUR IN SAN FRANCISCO!!!!!!!!!!!!!!,"pasta,service"
"My mother always told me that I should focus on the positives whenever possible. With that in mind, the salsa verde tacos I ordered the other day used very fresh ingredients.Papalote's flavor just wasn't to my liking. Perhaps it was because the salsa that came with the chips reminded me of creamy tomato soup. Maybe it's because my tacos had a spice level usually reserved for the residents of Branson, Missouri.It wasn't terrible... I've just had better.","salsa,tacos,ingredient,soup"
"It's what they call one of those ""hole in the wall"" places. Actually, the ambience was good for a ""hole in the wall"". I took my date (who was previously unimpressed with Chinatown restaurants) here for more authentic Chinese cuisine and fresher seafood in Chinatown on a budget. The seafood claypot met our expectations.","ambience,cuisine,seafood"
"A DIOS MIO!Let's remove the fact that this place is vegan. •_Take it off the table. •_They are slingin some incredibly tasty food for anyone.I get the impression that you can't survive in The Mission if you serve bad mexican food. •_In my mind, you will get laughed out of the neighborhood by the incredibly advanced Mexican food palate of Californians and Mexicans alike. •_Thankfully, Gracias Madre will never suffer such a fate.As soon as my tamal got to the table, I knew this was going to be a memorable meal. •_I ordered it ""mojado"" which means then unwrap it and drizzle it with mole and with their cashew sour cream. •_With the beans and escabeche on the side, this was probably one of the best meals on my trip and will certainly stick out in my mind for years to come. •_I only wish we had one in philly because I would frequent it.The prices were excellent and the design of the place just made me feel like I was in Mexico, even though I have never been there. •_I imagine the colorful tiles, deep dark wood accents and religious paraphernalia to be straight out of plenty of Mexican joints. •_I support everything they are doing here and I'm happy I had the chance to experience it.","mole,cream,price"
"Everyone has their favorite Taqueria in the Mission, and mine is hands down El Buen Sabor. I admit that I've never ordered anything besides a super vegetarian burrito, but what a super vegetarian burrito it is. •_The food always tastes and looks fresh and it's often busy which I take as a good sign.",burrito
"I was really excited to try this place with my friend for a weekday brunch. I was super shocked at how long the line was on a Friday morning. We definitely waited outside in the cold for at least an hour before getting inside. When we walked inside, we only had a little time to decide what to order before we found ourselves at the cashier. The cashier was really friendly!My friend ordered the Monte Cristo and I ordered the french toast and homefries to share. Our food took FOREVER to come, but I guess that made sense considering how many people they had to serve, but it seemed like people who got there after us were getting served before us. In terms of the food, the french toast was great but pretty average and the homefries were delicious but a little too oily. I am not a very big fan of ham but I managed to also really enjoy the Monte Cristo, and I would definitely recommend others to order the Monte Cristo. The presentation of the Monte Cristo is very very nice as well.Overall, it was a nice restaurant, but I think the place is a bit overhyped other than the Monte Cristo. I would definitely come back here if the wait isn't too long!","cristo,toast,homefries,ham,wait"
"Hint: Even though they say that they deliver, they only do so within short ""walking distances"". Otherwise, the food is good. I've had the garlic noodles, the Vietnamese pasta, the canh chau and ca kho. Expensive but good.","noodle,pasta,canh chau,ca kho"
I LOVE this restaurant. My absolute favorite waitress is Claudia. She's super nice and attentive... She explained everything on the menu to me and told me about Llamas.,waitress
"Still great, just wanted to add the Beijing Chicken and Eggplant is the bomb. •_Also, you can now get delivery through trycaviar.com","chicken,eggplant"
"From my 3 days in San Francisco this was the best meal we ate. The food tasted fantastic, the service was speedy and polite and the price was low.Even 3 days later I am still thinking about this meal and am now searching for a Vietnamese •_restaurant near me that comes close to Kim Thanh","service,price"
Love this place. Definitely want to keep this place my little secret...but here it is: One of the few Italian restaurants I know that offers a whole page dedicated to seafood pasta/ Italian cuisine. Start with the caesar salad! My all time favorites are the crab pot pie and sea bass ravioli in lobster reduction sauce. Salmon farfalle is rich and decadent as well. Definitely hits the spot if you're looking for a hearty and comforting meal on a chilly night.,"pasta,cuisine,salad,pie,ravioli,farfalle"
"They were severely understaffed on a Sunday evening. They seated us and promptly forgot we existed. They took 15 minutes to come ask about drinks, and then 30 minutes later there was no sign of a waiter. I even asked the host to send someone over and no luck. We left hungry after being at the table for 45 minutes.",wait
"My Thanksgiving trip back up to Nor-Cal consists of catching up on all the food places I have been missing out on.For one- Paxti's. My family loved Zachary's but didn't want to make that trek so I came here instead. It was delicious! Lunch special for $9.99 is sooooooooooo worth it! Salad, slice, and soda. Salad is humoungous!! And you can pick any from the menu- I chose the Greek Salad. Tons of freshly chopped veggies and a nice chunk of feta atop. For the slice I got the veggie. Super cheesy and gooey :) I loved the artichoke hearts inside. It was a bit salty but nothing a wash of soda couldn't help. The best part was the crust!! Flaky and delish!! I hate really doughy crusts and Paxti's crust is like a cross-breed of a biscuit and a trad. crust. YUM.I have tried Chicago-style pizza in Chicago and this place reminds me of the Windy City :)","salad,slice,soda,veggies,crust"
"this place is quite close to my house, so i go there a lot, and i have to say, i really like it. the servers are not the friendliest bunch, but the food comes out fast as hell. if you get as cranky as i do when i'm hungry, and let yourself be hungry for a very long time before actually deciding you should probably really get serious about eating something (as i do), then that kind of speed is clutch.for those veggie-minded folks:-mandarain eggplant. oh god yes. am sitting here hungover on a saturday morning and cannot wait to get my hands on that shit once they open in....ugh, 6 hours.-sauteed string beans. tons of garlic, but very tasty.-kung pao tofu. yum.this place is totally delicious, has a totally nice atmosphere, and is way reasonably priced. recommended: yes.","server,eggplant,bean,toufu,atmosphere,price"
Came here on a Saturday night for a last minute dinner around 7 because the wait for Tony's Pizza on the other street was 2 hours. •_It looked pretty busy inside and out but our friendly hostess said it would only be a 10 minute wait. Ordered a Moscow mojito at the bar which was really good. Our waiter at the table was on point with service. I ordered the gnochetti with garlic and I loved it. I only finished less than half of it since it's such a heavy dish. Can't wait to go back and try dessert next time!,"mojito,gnochetti"
"Best traditional mexican in the city. The fish torta is unbelievable. The salsa bar is on point, clean, fresh and has 10 different choices. The chicken tortilla soup is the best in it's class... and i got both the chicken soup and the fish torta for 5.75?!?! what!!! orchata is super fresh and not too sweet. i love it, i make up excuses just to get down that far in the mission. great atmosphere, nice hand painted tiles, art, and tables. great for a casual date... it is an order up front and pay and then they bring it out to ya kind of gig. No booze as far as i could see, but that isn't really the point here.","torta,salsa,soup,orchata,atmosphere"
"Deal with the devil.One must have been made to create the Shrimp Diablo.An unholy amount of prawns. A nefarious amount of cactus, onions and black beans (subbed for rice). A hellish kick from the spicy garlic tomato sauce.So good. So big. Almost couldn't ","steak,quesadilla,meat,prawn,cheese"
"Just as good as I remember, and luckily the place was empty at 6pm on a rainy Saturday so the food was ready right away. The food here is excellent.The decor is meh, and I don't recommend sitting facing the front window unless you want to be panhandled to, repeatedly. Next time I'll try take-out, and there definitely will be a next time.","d_cor,food"
"I like the outdoor patio, it is a bit pricey but what do you expect, it's a hotel venue along the waterfront. Drinks are good, bartender is nice. We had almonds with garlic, it was ok. Spicy Cashews, that was ok too. Fried Cheese balls, eat them fast so they stay hot and melty. And olives were good, I wish there were more big olives and less small ones.","patio,bartender,cashew,almond,ball,olive"
"Dumpling Kitchen is a solid dumpling place. We arrived at 7:15 pm on a Thursday and waited about 15 min before we were seated. As a party of two, we were seated at a larger table with another party of two. Not bad if you're open to meeting strangers and being nosy about what other people ordered!We ordered soup dumplings, pork dumplings, pea shoots, and Shanghai noodles. All delicious and filling! It's not gourmet by any means, but the food was warm and good.Will return!","dumpling,shoot,noodle"
"I finally got the chance to try this place out! I figure I would take my boyfriend here to eat before our show to wicked since he LOVES italian food. We got the baby octopus for our appetizer and it was well executed. The broth that came with the octopus was amazing! •_We got the seafood linguine with squid ink and the fish. They were both delicious! My boyfriend loved the squid ink linguine and would of course drive back all the way to the city for it! For desserts, we got the Sardinian Ricotta and Saffron Cake, it was perfect. A flavorful, light dessert that didn't feel too heavy but was suffice for the sweet craving. As far as ambiance--it gave me a romantic/ intimacy vibe. It is a cute little small place so it's intimate for two or even a small group of 6 would still fit perfectly at this restaurant. If you want to come here just for a small bite and a glass a wine-- feel free to! They also have bar seating!Parking kind of sucked....so good luck with that! We had to park at least 5 blocks away. I'm pretty sure it's more of a challenge on a busier night like a friday or saturday.","appetizer,linguine,ricotta,cake,ambiance,wine,parking"
"Get the turkey with avocado and swiss on a french roll for $5.50 and you'll understand why this place is worthy of all the repeat customers. AMAZING! The best sandwich I've ever had in my entire life. Every time I'm in San Francisco I stop here, despite the hundreds of other options. It's located right along the Powell St. cable car line, so after you finish eating you can hop on and ride down to Fisherman's Wharf to digest and watch the sail boats coming into the bay from under the Golden Gate.","turkey,roll,sandwich"
"Meh is the perfect way to describe this restaurant. Food was ok at best. Smaller portions, higher prices and a much lower quality than Chef Hunan, a chinese restaurant just two blocks away. Can't find a single reason to go back to this place.","portion,price"
"Delicious! Decided to be adventurous and try the garlic clam because it's the one that kept having to be replaced as we watched from the line outside. I love the crispy crust and thought it had great flavor! •_Also, my kids never eat the crust but they both devoured their pepperoni slices!","clam,crust,slice"
The best vegetarian burrito I've ever had. Whoa.,burrito
"I love this little, homey neighborhood gem. •_The food is wonderful. •_The fresh, homemade pasta and sauces are incredible. •_My favorite is the light and flavorful lasagna. •_It isn't anything like the overly cheesy American version. •_Everything here is delicious. •_The restaurant is small, with a few tables and stools. •_A very unpretentious place that puts the emphasis on food and not decor. •_Great Italian owners/staff.","pasta,sauce,lasagna"
 Lounge|,
"Rough around the edges is the best way to describe this restaurant, the employees and the clientele. The staff sort of acts like they don't really care. The guy who brought me my plate neglected to tell me the plate would be scalding hot. The food takes a long time and is pretty mediocre. This place will not survive the next wave of gentrification.",staff
"I didn't love anything about this place. My chicken taco was subpar - not enough flavor and dark meat. Where was the salsa? Primavera on Saturdays at FP is bomb, but forget this place.","taco,salsa"
"What an excellent restaurant! The restaurant is nice and has a good ambiance. •_On my visit, the restaurant was dimly lit and it created a nice sense of intimacy. •_ The service I did not care for. •_ If I didn't like the food so much I would have deducted a star or two. •_The waiters seemed snooty to the point where it almost made me uncomfortable every time they came to the table. •_We did a 3 course meal which was more than enough food for me. What ever you do, do not miss the lobster panzerotti or the foie gras pasta. •_ The panzerotti were little pillows of perfection. Beautiful Italian flavors and delicate stunning food. •_I loved the food so much I would visit again knowing I would have to overlook the service.","ambiance,servive,panzerotti,pasta"
"I've come here several times w/friends or just my boyfriend. I always got the Chicken Fetuccini Alfredo, but I chose something from the Nutritional Book and got the Grilled Chicken Penidi (or something like that). Which was 400 calories vs. my usual 2,000+ calories alone w/the fetuccini. I barely ate what I got. Our waitress was super nice. She was very attentive. She noticed that I barely ate any of my food so she insisted to not charge me. The manager comes up to me and asks if I'd like some chicken fetuccini to-go, and I declined. And they still charged me. Not that great customer service, why would you insist to not charge me but end up doing so? It doesn't make sense. If anything, I should've just took that fetuccini offer to-go. I gave more tip than 15% too. I won't be coming back anytime soon, only if I'm super craving Olive Garden. Otherwise, no.","chicken,fetuccini,service"
"YES!!! A million times yes! •_This place is awesome and I'm so happy it's in this neighborhood. •_Plentiful tacos, plentiful sides, plentiful chips.Just the right amount of spice and these people are nice!","tacos,side,chips,spice"
Small little place with a huge menu! We waited in line for a good 30-45 minutes before we were able to order/pay/be seated. It was just crowded for brunch but it was well worth the wait! They have really great fresh squeezed juice. I got pancakes with fruits and scrambled eggs and it was all delicious. My husband got their club sandwich with a side of potato salad and it was also really good! Aside from the wait it was a good experience! I'd definitely come back :),"juice,pancake,sandwich"
Gotta love this place.. food is good and service is super fast!. One of my top destinations after a night out in the city!. A hole in the wall but always hits the spot!,service
"I'm going to start off by saying, the service was good! •_Totally acceptable despite what the other reviewers have written. •_My critique lies in the food. •_I think it has potential, but there was little to no taste in any of the dishes we had. •_My friend ordered the Rojas enchiladas and there was nothing inside the tortilla. •_Everything, which was not much, was thinly layered on top of 4 tortillas. •_My other friend ordered the Tinka and it was nothing to write home about. •_I had the carnitas and they were fine, but could have used a whole lot more flavor. •_In one word, I'd describe the food here as bland. •_For the price point, the food should not to be bland.","service,enchiladas,tortilla,tinka,carnita,price"
My wife and I had the clam chowder which was very good. We also had the signature cioppino that was NOT very impressive.,"clam,cioppino"
Ceviche is sooooo freaking good! And I'm really picky when it comes to al pastor tacos but they were delicious!!! 100% recommend!,tacos
"Kind of hyped. We waited for about an hour and 15 minutes starting at 9:00 PM on a saturday evening. Yes, we came at 9:00 PM and there was still over an hour wait!I was excited to try with all of the good reviews... and it always seems busy with people standing outside. Figured it should be good.And it was good, just not a spectacular, ""wait-for-an-hour-and-15-minutes-for-an-already-late-dinner"" type of good.Admittedly, I just don't think I'm that into ""fancy"" pizza. It's just not satisfying in that pizza way. You want that pizza from childhood. The one that's greasy with both tomato sauce and mozzerella on that simple crust - possibly with good old fashion pepperoni. Not that it has to be simple, like I love the crust at Little Star. I guess I like a more down-to-earth pizza. Yeah, I think that's what I'm trying to say.I'm glad I tried it because all of SF seems to be obsessed with this place. But I think I'll pass on the wait.","wait,pizza"
"Yes they are expensive but boy is it delicious. It's an adaptation of fresh and fast street food but at ferry market price offerings. •_Last visit it was $3.50 for a carne asada taco. •_It's delicious enough that I eat here everyday when I'm out in San Fran. •_I have never had anything close or better to what I have eaten here. •_Their soup is good. •_The chilaquiles left something to be desired. •_Oh, if only I lived closer. •_I'm always happy to see the same staff every time I go there! •_I can't wait to go back for a taco or two or three.","taco,price,chilaquile"
"Nice ambience, so was the staff, the portion is good for the price","ambience,staff,portion"
"This is for take out only. I have not yet dined in... My kids and I were hanging at a park nearby and I could tell they were getting hungry and not willing to sit at any restaurant. Time to duck out quick and grab the kiddos something they'll eat and fast. Low and behold I trusted my app (w a 10% off check in offer) to lead me here. I phoned in my order and the gentlemen on the phone said 15mins. Wow fast! I quickly drove there and it was ready as expected. Large half pep and half cheese + 10% off =$18 (plus tip, I always tip I'm in the biz to).Good thin crust. Nice and hot... I'd return.",take out
"Look no further for a prefect dim sum joint in SF metro area - this is THE PLACE! You wouldn't go wrong with any of their orders. I had tried many other places and by far there is no comparison. I read a lot of reviewers who complained about the long wait and lack of parking. In order to beat the crowd, you need to get to the place right before it's open (10 am on weekends). We had a party of six and we were seated right away even though there was a line outside the restaurant waiting to get in. This will also solve the issue of lack of parking spaces since there will be plenty spaces early in the morning. This proof the point when you see so many people want to wait to eat at Dragon Beaux, it's a good indicator of how awesome of this place is.","dim sum,place,party,line,restaurant,parking space,people"
The food is yummy so we keep coming back. They have a great selection on their lunch special,"food,lunch special"
"Beretta was able to accommodate •_our 20 persons reservation for a dinner on a Saturday (broken off to 3 different tables). The dinner was prix fixe and served family style. 1st CourseAntipasti- marinated castevetrano olives with citrus: im not a olive person, but my friends said it had a strong flavor (?)- walnut bread with burrata","person,table,dinner,family styl,olive,flavor,walnut bread,burrata"
The clam pizza was delicious! And the server was very friendly. Remember cash only! Would definitely go back.,"pizza,server,cash"
"I came here for lunch, and the lunch specials are awesome. Each order comes with hot and sour soup, which was pretty good. I'm not usually a fan of this soup because they're usually very sour, but this one had a nice balance with the heat. I tried the chicken breast with green beans, and it was delicious! It's deemed spicy, but it really wasn't. But the flavor was great! The green beans were cooked perfectly, and the chicken was very tender and moist. Each plate comes with rice, too. The service was great - really friendly.","lunch special,soup,fan,balance,chicken breast,bean,rice,service"
"My favorite go-to delivery/take-out Chinese restaurant in San Francisco. Delivery is free and pretty fast. The food satisfies every time. They do the standard dishes well. The best part about ordering from Yum Yum is when you call and they answer - ""HELLO!! YUM YUM!!!""Our favorites: Beef and broccoli, sweet and sour porkAvoid: Hot and sour soupMust do: Order 3 (used to be 2) entrees and get a free chow main or fried rice. Only available for delivery orders","take out,delivery,food,dish,beef,broccoli,pork,soup,entr_e,chow main,rice"
"Great service and Good Dim Sum! A friend and I went to Hakkasan on Saturday for dim sum! The dim sum was very tasty and seemed very fresh. It was not traditional, but very good! I devoured the roast duck pumpkin puff and almost asked for a second plate! We had 7 other plates and there wasn't a sour note in the bunch!The best part of our visit to Hakkasan was the service! Terrific people who made us feel like royalty! They checked in on us the perfect amount and really seemed to care about how our experience was going! I think I would go back just to be treated that well again! :) If there was an area that needed improvement, it would be the venue! We were there first thing on a Saturday and the space felt like my moms house after a high school party! There was this post boozy funk everywhere, it felt like the restaurant had a hangover! Overall, I'd give Hakkasan 4.5 stars!","service,dim sum,duck,pumpkin,plate,experience,venue,restaurant,house,party"
"I came here and there was a decent line at 11am on a Saturday. •_The place was pretty small and there's no place to sit. •_The owner of the store next to them kinda shouted at me to wait in line across the side walk, because I was almost in front of his door. •_Anyway, I ordered 6 shrimp dumplings, chive and shrimp dumplings, and noodles. •_They were all really good, but I would pass on the noodles next time. •_Good place to come for good dim sum at an awesomely cheap price!","place,owner,line,shrimp,dumpling,chive,noodle,price"
