,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"Great looking place. Amazing atmosphere, amazing food.HOWEVER, horrible attitude from a man name Eldon.A couple friends and I had the back room prepped for us. It was our friend's birthday and it wasn't his first time; he assured to us that the food at nopalito was amazing since it was everyone else's first time... and he was right, the food was great! However, we also all agreed that the server was just rude RIGHT off the bat. Eldon did not ask how we were doing as he approached us. He also sounded just plain ANNOYED when he asked us if we were having drinks, although we were a bit indecisive, it does not mean to RUSH us. We all just chose water instead of us ordering drinks right there and then. When we asked Eldon about the types of food, or if Nopalito has empanadas, or how the food ordering works at Nopalito (because obviously it was our first time) he responded a sharp ""uh yeah, it's right there ON the menu"", Repeatedly ""yeah, it's ON the menu"", as if we're not looking at the menu, we're just curious! He also cut my friend off while he was asking a question about substituting meat, but the server cut him off saying ""NO, you can't do custom foods, not going to happen.""He also made a disturbing comment towards the end of the night. It started with him stating how we should download venmo in order to make our lives easier upon splitting the check. Our table let him know a fact about venmo, saying that it usually takes three days to process (because really, we just want to pay right there to make everyone's life easier). He answered ""you guys can't wait three days?"", and our response, ""no we can't, we just want to pay it now"". Then he had the NERVE TO SAY TO US, ""sounds like you guys need another job"". Excuse me? Just because we rather not use a phone app? We all received our degrees, we work 9-5 jobs, Monday to Friday, working hard, and just want to have a good time celebrating our friend's birthday ON A SATURDAY NIGHT. But we felt so uncomfortable when the waiter had the nerve to tell us we need another job just because we're figuring out payment. Plain rude. You don't know what our occupation is, so who are you to comment about our jobs?Hence why I'm providing four stars. Just for his specific service. Good place, but don't want to see the server's face. We wished the ladies came around more- just smiling at us and asking if everything was okay. But Eldon REALLY pissed us off last night. Yeah, we're young, want to have fun- but does not mean that you can talk down to us. Oh, and he didn't tell us his name- it's on our receipt.Don't think we'll come back. Good place. But don't think we will.",food,room,place,meat,atmosphere,server,waiter,face,drinks,friend,service,receipt,menu,check,table,app,phone,order,water,birthday,wait,,,,,,,
"The food's generally good but there's usually a wait, it's usually loud, and they barely put any meat in my fajitas last night (the guac. serving was weak as well)",food,wait,meat,,,,,,,,,,,,,,,,,,,,,,,,,
Great first experience at this restaurant. The food was good and the service was fast!,restaurant,experience,service,food,,,,,,,,,,,,,,,,,,,,,,,,
"No clue why people wait 1-2 hours for this place. I suppose their French toasts are slightly unique, but otherwise it's a pretty basic breakfast. Sooo many other places to go in the city. On a personal note, I could not eat the food there: Once you are inside at the cashier, you watch all the men in the open kitchen. They do not wear gloves to make the food and, after watching all of their hands repeatedly dunk into the vat of egg batter, and all over everything, I became super grossed out and couldn't eat. It felt really dirty to me. I realize some people don't care, but I had no appetite after watching their hands all over my food.",food,place,appetite,batter,breakfast,cashier,kitchen,egg,people,city,wait,,,,,,,,,,,,,,,,,
"Hands down, a MUST try when visiting San Francisco! One of my favorite places to eat and go to with my friends. I don't think I've ever met another San Franciscan who has said that San Tung's is anything other than amazing! I always recommend this place first when I want to eat and hang out with friends and I always order their famous chicken wings with a side of their garlic green peas and just regular steamed white rice. Such a simple and delicious meal at a very reasonably price!",wings,place,garlic,order,rice,meal,price,side,chicken,,,,,,,,,,,,,,,,,,,
Yummy! Not my favorite pasta ever but I'm glad I tried it out. Had the octopus soup and it was very flavorful. The uni pasta I loved but you have to be a huge uni fan to appreciate it... Very rich but the breadcrumbs on top balanced out the richness. Definitely delicious and very different,pasta,soup,fan,octopus,,,,,,,,,,,,,,,,,,,,,,,,
"I was having dinner with girlfriends in the Marina and Delarosa popped up on Yelp as a great option. I saw on the website that the team behind Delarosa has connections to Beretta (amongst other restaurants) - I love Beretta and was excited to try Delarosa. Delarosa was great and I would definitely go back. The bar is a great spot to post up while you're waiting for friends or to dine with another friend. We were there on a Monday night and we were able to get a table quickly at 7:30. The big windows give it an open and airy feeling, and there are a few tables outside for those rare warm SF evenings. Most of the tables inside are communal and by the time we finished dinner (around 9:30), the music had been turned up to levels that made it tough to converse. The following is how I would rank the dishes we ordered: - Crispy taglioni dumplings: imagine a cheese and prosciutto-filled dumpling deep-fried and sitting in marinara sauce. So good, so gooey.- Mushroom pizza: great pizza dough - I normally don't eat crust but this was an exception. - Crab arancini: yes, more deep-fried food and this was also cheesy and delicious but maybe not the best I've ever had- Panzanella salad: great flavored with the fennel croutons but the tomatoes were a bit too soft / over-ripe and didn't hold up well in the salad",dinner,sitting,food,bar,option,feeling,cheese,dough,salad,spot,table,dumplings,waiting,prosciutto,music,dumpling,sauce,pizza,crust,friend,,,,,,,,
Great lunch ... very busy but we still got good service from Joy .... unfortunately we had a family with a shrieking child that didn't even have the decency to take the kid outside. ¥_Luckily the staff politely asked them if they might be able to calm the kid down and they got pushed out of shape and left. ¥_Oh well .... I'm sure they will write a bad review of this place but maybe they should remember to think of other people when they're out in a public place .... we want to enjoy a nice meal and not have to listen to their unruly kid.,staff,place,service,meal,review,family,lunch,people,,,,,,,,,,,,,,,,,,,,
"One of the few rooftop + outdoor places in the city. I have frequented this venue from the time it was Medjool. On a nice day, it's a fantastic place to be. If it's cold and windy (hello san francisco) it could be a little difficult to enjoy a cocktail. They menu has a good variety and I would highly recommend it as a Happy Hour spot on a warm SF day.",place,menu,variety,spot,city,cocktail,venue,,,,,,,,,,,,,,,,,,,,,
"This place is very small, the the service is quick and good. The food is tasty and fresh. Not to mention the cost of the entire meal for a party of 6 was purr of this world. Very inexpensive.",food,world,place,service,meal,party,,,,,,,,,,,,,,,,,,,,,,
"One of my favorite taquerias in the Mission.Food is delicious, fair prices, the music is great, the decorations are beautiful and the workers there are hilarious!! Definitely recommend this place!",place,music,taquerias,,,,,,,,,,,,,,,,,,,,,,,,,
"If you're not looking for this place, you will never find it. It's a charming little hole in the wall, complete with swinging overhead lights as if a subway car was right above you, although it's quiet. Seating is a small bar that faces an open kitchen, where they cook everything fresh. The people that work there are courteous and sweet. I got the garlic house noodles. They were fabulous. Husband got the black bean tofu, which was very good but I like what I got more. We also got the fresh spring rolls with peanut sauce. Yum. Nothing was too filling. Perfect for lunch. And the prices were LOW. Would definitely go back.",peanut,car,place,bar,garlic,house,noodles,bean,kitchen,tofu,lunch,people,sauce,rolls,cook,wall,,,,,,,,,,,,
